Tema,Pergunta
China,"01. (Enem 2011) Os chineses não atrelam nenhuma condição para efetuar investimentos nos países africanos. Outro ponto interessante é a venda e compra de grandes somas de áreas, posteriormente cercadas. Por se tratar de países instáveis e com governos ainda não consolidados, teme-se que algumas nações da África tornem-se literalmente protetorados.



					BRANCOLI, F. China e os novos investimentos na África: neocolonialismo ou mudanças na arquitetura global? Disponível em: http://opiniaoenoticia.com.br. Acesso em: 29 abr. 2010 (adaptado).

					A presença econômica da China em vastas áreas do globo é uma realidade do século XXI. A partir do texto, como é possível caracterizar a relação econômica da China com o continente africano?

					
						 Pela presença de órgãos econômicos internacionais como o Fundo Monetário Internacional (FMI) e o Banco Mundial, que restringem os investimentos chineses, uma vez que estes não se preocupam com a preservação do meio ambiente.

						Pela ação de ONGs (Organizações Não Governamentais) que limitam os investimentos estatais chineses, uma vez que estes se mostram desinteressados em relação aos problemas sociais africanos.

						Pela aliança com os capitais e investimentos diretos realizados pelos países ocidentais, promovendo o crescimento econômico de algumas regiões desse continente.

						Pela presença cada vez maior de investimentos diretos, o que pode representar uma ameaça à soberania dos países africanos ou manipulação das ações destes governos em favor dos grandes projetos.

						Pela presença de um número cada vez maior de diplomatas, o que pode levar à formação de um Mercado Comum Sino-Africano, ameaçando os interesses ocidentais."
China,"02. (Enem 2016) No início de maio de 2014, a instalação da plataforma petrolífera de perfuração HYSY-981 nas águas contestadas do Mar da China Meridional suscitou especulações sobre as motivações chinesas. Na avaliação de diversos observadores ocidentais, Pequim pretendeu, com esse gesto, demonstrar que pode impor seu controle e dissuadir outros países de seguir com suas reivindicações de direito de exploração dessas águas, como é o caso do Vietnã e das Filipinas.

					KLARE, M.T. A guerra pelo petróleo se joga no mar. Le Monde Diplomatique Brasil, abr. 2015.

					 A ação da China em relação à situação descrita no texto evidencia um conflito que tem como foco o(a)

					
						 Distribuição das zonas econômicas especiais.

						Monopólio das inovações tecnológicas extrativas.

						Dinamização da atividade comercial.

						Jurisdição da soberania territorial.

						Embargo da produção industrial."
China,"03. (Cesgranrio) “Xangai – A população chinesa deve chegar a 1,442 bilhão de pessoas em 2029 e começar um longo período de declínio “imparável” em 2030, disseram acadêmicos do governo em um estudo. [...] A população da China deve cair para 1,36 bilhão em 2050, o que pode significar um declínio na força de trabalho da ordem de 200 milhões de pessoas. Se as taxas de natalidade continuarem nos patamares atuais, a população deve chegar a 1,18 bilhão em 2065.”

					Disponível em: https://exame.abril.com.br/mundo/populacao-da- -china-deve-atingir-pico-de-144-bilhao-em-2029/. Acesso em: 15 jan. 2019. Adaptado.



					 Se as previsões citadas na reportagem se confirmarem, qual será a redução média anual na população chinesa, em milhões de habitantes, de 2050 a 2065?

					
						 0,8

						1,7

						4,8

						12,0

						17,3"
China,"04. (FAMERP) Tradicionalmente, diplomatas dos Estados Unidos, dos países árabes e da União Europeia tentam mediar o conflito de décadas entre Israel e os palestinos. Mas quem também anda viajando pela região é o enviado especial chinês, Wu Sike, um nome desconhecido em grande parte do Ocidente. Ele já esteve na Arábia Saudita, no Catar, na Jordânia, no Egito, nos territórios palestinos e em Israel, não só representando os interesses econômicos chineses, mas também agindo como mediador entre Israel e o Hamas.

					(www.folha.uol.com.br, 29.07.2014.)

					O interesse da China em estender sua influência econômica e diplomática no Oriente Médio justifica-se

					
						por sua política de importação de alimentos cultivados junto ao Mar Mediterrâneo.

						por seu objetivo imperialista de conquistar a hegemonia política na porção oriental do globo.

						 por seus acordos de cooperação técnico-científica na área do meio ambiente.
						por sua dependência energética das importações de petróleo dos Estados do Golfo.

						por sua vocação humanitária ao difundir práticas que ajudaram a melhorar os indicadores sociais chineses."
China,"05. (ESPM) O contexto internacional em 2019 no segundo semestre, entre outros fatos, foi marcado pela crise envolvendo China e Hong Kong.



					Sobre o status político de Hong Kong é correto afirmar:

					
						 É um Estado soberano, condição alcançada logo após a independência do Reino Unido em 1997.

						É uma região autônoma britânica encravada em território chinês.

						É uma região administrativa com status especial, porém sob soberania chinesa.

						É uma região administrativa autônoma e com status especial, porém atrelada à Taiwan.

						É considerada um Estado independente, porém a China não reconhece essa condição."
China,"06. (EMESCAM) Sobre Hong Kong, que foi devolvido ao governo da China Continental no dia 1º de julho de 1997, depois de 155 anos de domínio britânico, pode-se afirmar que:

					
						 a reincorporação de Hong Kong à China decorreu da adesão desse país ao sistema capitalista.

						a devolução de Hong Kong à China foi consequência do processo de globalização da economia.

						a presença dos ingleses em Hong Kong pode ser entendida como uma prerrogativa da Igreja Anglicana.

						o retorno de Hong Kong ao governo chinês resultou de forte sentimento de nacionalismo de seus habitantes.

						o domínio britânico em Hong Kong decorreu da expansão do imperialismo britânico."
China,"07. (EsPCEx) “Desde o início da década de 1980, a China tem sido a economia que mais cresce no mundo, a uma taxa média de 10% ao ano […]. Como consequência desse impressionante crescimento, entre 1980 e 2010 o PIB chinês aumentou 2.810% e se tornou o segundo maior do planeta.”

					SENE, Eustáquio & MOREIRA, J.C. - Geografia Geral e do Brasil: Espaço Geográfico e Globalização (2). 2ª ed. São Paulo: Moderna, 2012, p.199.



					Dentre os fatores associados a esse avanço econômico podem-se destacar:



					I- a presença de enormes reservas de minérios e combustíveis fósseis no subsolo chinês que concede ao País autossuficiência em termos de matéria-prima e fontes de energia e o caracteriza como grande exportador mundial de petróleo.

					II- o modelo de economia planificada que, promovendo crescimento econômico com equilibrada distribuição de renda, amplia o mercado consumidor interno chinês, um dos mais gigantescos do mundo, e elimina as desigualdades sociais.

					III- a liberalização econômica e os baixos custos da mão de obra, principal fator de competitividade da indústria chinesa, têm sido fundamentais para o crescimento econômico do País.

					IV- o esforço chinês em atrair indústrias intensivas em capital para as chamadas zonas de desenvolvimento econômico e tecnológico, fazendo com que nas últimas décadas o País esteja entre os maiores receptores de investimentos produtivos do mundo.



					Assinale a alternativa em que todas as afirmativas estão corretas.

					
						 I e II

						I e III

						I e IV

						II e III

						III e IV"
China,"08. (FAAP) A China, com mais de 1 bilhão e 357 milhões de habitantes e organizada como uma república parlamentar socialista, tem atraído a atenção dos países capitalistas pela nova política econômica que foi implantada após a morte de Mao Tse-Tung.



					Sobre as reformas implantadas na China a partir de 1978, é correto afirmar que:

					
						o governo chinês permitiu o estabelecimento de um comércio ativo com outros países e a instalação de fábricas de transnacionais em solo chinês. Foram criadas as Zonas Econômicas Especiais, no litoral chinês.

						após o longo processo de independência britânica , na primeira metade do século XX, os primeiros governos nacionais procuraram promover o crescimento econômico com a ajuda dos EUA e do Fundo Monetário Internacional (FMI).

						o governo chinês, para tentar solucionar a crise, desenvolveu um programa de reformas econômicas no país denominado perestroika . Por meio desse programa, ocorreu uma nova direção no desenvolvimento do setor industrial voltado para a produção de bens de consumo e material bélico.

						a elevada incidência de pobreza no país tem raízes na economia colonial. Desse modo grande parte da população ficou marginalizada do mercado consumidor.

						as reformas econômicas foram responsáveis pela criação das “ZEEs”na região oeste e central do país, com infraestrutura construída pelos investidores estrangeiros."
China,"09. (PUC-PR) Hu Jintao (dirigente chinês) foi substituído em março de 2013 por Xi Jinping que terá desafios importantes a enfrentar na 2a maior economia do planeta: corrupção, degradação ambiental, desaceleração do crescimento econômico entre outros.



					Com relação à China, assinale a alternativa CORRETA.

					
						 A abertura econômica transformou a China numa das maiores plataformas de exportação de bens de consumo do mundo. Na atualidade, está entre os principais parceiros comerciais do Brasil, destacando-se em nossa pauta de exportações para esse país, a soja e o minério de ferro.

						A China, apesar de não ser membro do Conselho de Segurança da ONU (Organização das Nações Unidas), possui participação importante nas grandes decisões mundiais tendo apoiado os Estados Unidos nos últimos conflitos ocorridos no Norte da África e Oriente Médio.

						Apesar da crescente industrialização, o governo chinês não demonstra preocupação ambiental, visto que sua matriz energética é predominantemente limpa e renovável.

						Recentemente, a China deu total autonomia à região do Tibete, encerrando um longo período de dominação dessa região por Pequim.

						O crescimento chinês iniciou-se com a implantação do “socialismo de mercado” através das Zonas Econômicas Especiais, programa desenvolvido por Mao Tsé-Tung com apoio, na época, dos Estados Unidos e da Ex-URSS."
China,"10. (UESB) Se um meteoro caísse na China e ela sumisse do mapa amanhã, a balança comercial brasileira não apenas despencaria, mas mudaria de sinal. [...] Nessa conjectura apocalíptica, os Estados Unidos, cujo gigantesco déficit a China financia, ficariam insolventes. Pequenos, médios e grandes negócios fechariam as portas. A Europa também viria a nocaute, sem gordura para queimar e com países ancorados na exportação de maquinário. O Japão, que tem 20% de suas exportações direcionadas para a China, entraria em colapso, o mesmo destino dos vizinhos asiáticos Bangladesh e Vietnã, hoje satélites chineses.

					 (OYAMA, 2012, p. 100).

					 O texto e os conhecimentos sobre a dualidade chinesa de um governo comunista, que desenvolve uma economia capitalista, permitem concluir que a China contemporânea

					
						 absorveu, em grande parte, a cultura ocidental, restringindo as expressões de sua cultura tradicional às comemorações nacionais.

						vê sua economia favorecida pela grande disponibilidade de mão de obra qualificada nas áreas rurais.

						conserva o ideal socialista de uma sociedade com poucos contrastes sociais, promovendo programas intensos de distribuição de renda.

						tem influência na economia mundial, beneficiada, em grande parte, pelo fenômeno da globalização e pela integração entre os mercados.

						desenvolve programas de austeridade, destinados ao controle do consumismo, considerado incompatível com os ideais do Estado comunista."
China,"11. (ESPM) Dirigentes de China e Taiwan tiveram em Nanquim, o primeiro encontro desde a guerra civil de 1949. Foram quatro dias de conversações entre o chinês Wang Yu-Chi e o taiwanês Zhang Zhijuni. Tratou da continuação e contatos que ocorriam de forma discreta, apesar de ousada, desde maio de 2008, quando Maying Jeou foi eleito presidente da ilha de 23 milhões de habitantes. Voos regulares passaram a encurtar distâncias, e o fluxo comercial entre as duas partes dobrou. Em 2013, chegou a antes inimagináveis US$ 197 bilhões. Em 2010, China e Taiwan já haviam firmado um acordo comercial, sustentado por organismos não oficiais. No ano passado a ilha capitalista recebeu 3 milhões de turistas oriundos da China, país de 1,4 bilhão de habitantes, que passou por uma revolução comunista em 1949, liderada por Mao Tse-Tung.

					(http://zerohora.clicrbs.com.br/rs/mundonoticia/2014; 01/03/2014; 11h56)

					Oficialmente:

					
						a China considera Taiwan uma Zona Econômica Especial;

						a China reconhece Taiwan como um país independente;

						a China concede a Taiwan o status de província com autonomia especial;

						a China considera Taiwan como uma região administrativa especial;

						a China considera Taiwan como parte de seu território e não reconhece sua independência."
China,"12. (PUC-Rio) China foi o país que mais registrou patentes em 2012 — Brasil está na 28º colocação entre as nações que mais pedem patentes de produtos.

					Época Negócios Online. Disponível em: <http://epocanegocio.globo.com/informacao/Resultados/noticia/2013/12>. Acesso em: 14 mai. 2014



					 O título da reportagem selecionada mostra que a potência oriental:

					
						 é a que mais pirateia marcas no mundo.

						importa a cada ano mais matérias primas.

						ultrapassou o Brasil nos investimentos de ponta.

						investe crescentemente em Ciência e Tecnologia (C&T).

						acatou a legislação da Organização Mundial do Comércio (OMC)."
China,"13. (UESB) Os conhecimentos sobre a China atual permitem afirmar:

					
						
							A eficiência do mercado de trabalho chinês se deve à erradicação do analfabetismo.

						O país se transformou na “locomotiva asiática”, por promover a desaceleração do crescimento demográfico.

						A preocupação com o desenvolvimento sustentável fez desse país um exemplo para os países emergentes.

						A substituição do modelo soviético por formas de organização mais transparentes possibilitou grandes avanços nos campos científico e tecnológico.

						O padrão de excelência internacional em todos os níveis da educação alcançado pelo país é resultante, entre outros fatores, dos altos salários e privilégios que beneficiam os professores."
China,"14. (EMESCAM) A China se tornou uma potência industrial e exportadora nos últimos anos. Quais as causas desse fenômeno? Avalie se as afirmações são corretas ou incorretas:



					 1 - as vantagens concedidas pelo governo chinês às companhias transnacionais.
					2 - a mão de obra barata e abundante do país.
					3 - a política de liberalização econômica que abriu o país para investimentos estrangeiros.
					4 - a atuação da Comunidade Europeia do Carvão e do Aço (CECA) que unificou fretes e tarifas em toda a região.



					Estão corretas as afirmativas

					
						 1 e 2.

						2 e 3.

						3 e 4.

						1, 2, e 3.

						2, 3 e 4."
China,"15. (UECE) apão e China completaram 40 anos de relações diplomáticas, que recentemente foram abaladas, gerando um clima de tensão entre os dois países em virtude da

					
						 disputa territorial por um pequeno conjunto de ilhas que os chineses chamam de Diaoyu.

						entrada maciça de diversos produtos chineses no mercado japonês.

						disputa comercial entre os dois países pelo mercado mundial de eletrônicos.

						discordância do Japão ao regime imposto na China pelo Partido Comunista Chinês – PCC."
BRICS,"01. (UFRGS) O BRICS (grupo de países formado por Brasil, Rússia, Índia, China e África do Sul), que realiza cúpulas anuais desde 2009, prevê

					
						 a atuação na esfera da governança econômico-financeira e também da governança política.

						a diminuição das tarifas alfandegárias para quase todos os itens de comércio entre os países associados, mas não a livre circulação de pessoas e investimentos.

						a formação da Cúpula da América Latina, Ásia e União Europeia e visa à integração regional, à redemocratização e à reaproximação dos países.

						a livre circulação de pessoas e investimentos.

						a resolução da crise na Síria e das tensões geopolíticas na Crimeia."
BRICS,"02. (UECE) A expressão BRIC foi lançada em 2001, em referência ao conjunto de países formado por Brasil, Rússia, Índia e China, que assumiu um papel importante na economia mundial para os cinquenta anos seguintes. O grupo foi formalizado em 2006 e sua primeira cúpula ocorreu em 2009, e, desde então, além de ter recebido a África do Sul como mais um novo membro, lançou um banco de desenvolvimento — The New Development Bank — e um fundo de reservas denominado BRICS Contingent Reserve Arrangement, passando a ser conhecido no cenário geoeconômico internacional como BRICS. O principal objetivo dos países participantes do BRICS é

					
						
							fortalecer o papel econômico organizador dos Estados Unidos no cenário internacional.

						garantir a centralização da elaboração de políticas internacionais sobre produção e venda de petróleo dos países integrantes.

						defender uma ordem internacional multipolar, criando espaços de discussão para elaborar planos de ação política e econômica entre os países integrantes.

						oferecer ajuda mútua militar entre os países membros."
BRICS,"03. (UECE) O “banco do Brics” ou o New Development Bank – NDB – é uma iniciativa dos países que compõem esse grupo. Dentre os seus objetivos está o auxílio aos países em desenvolvimento. Uma de suas mais importantes iniciativas foi a recente

					
						 compra de campos de petróleo e gás no Brasil e no Oriente Médio.

						criação de uma linha de crédito para o financiamento da agroindústria em Cuba e na América Latina.

						concessão de empréstimos para projetos sobre energias renováveis.

						ajuda financeira às vitimas do furacão Matthew no Haiti."
BRICS,"04. (FGV-RJ) O grupo formado por Brasil, Rússia, Índia, China e África do Sul anunciou, nesta terça-feira (15/07), a criação de um banco de desenvolvimento. [...] O nome oficial é Novo Banco de Desenvolvimento (New Development Bank, NDB, em inglês).

					http://economia.uol.com.br/noticias/redacao/2014/07/15/ banco-do-brics-tera-sede-em-xangai-e-1-presidencia-sera-da-india.htm

					Sobre o banco criado pelos BRICS, é correto afirmar:

					
						 São Paulo, uma das principais praças financeiras do bloco, foi escolhida para abrigar a sede da
							nova instituição, que deverá entrar em funcionamento em 2016.

						Conforme as normas acordadas, apenas os países do bloco podem se associar ou receber
							empréstimos da nova instituição, que deverá operar no interior de suas fronteiras.

						A nova instituição foi criada com o objetivo de financiar projetos de infraestrutura e
							desenvolvimento em países pobres e emergentes, que dispõem de crédito considerado
							insuficiente nas principais instituições financeiras internacionais.

						Como parte da agenda de criação do novo banco, os países do bloco interromperam
							unilateralmente suas relações com instituições financeiras tradicionais, tais como FMI e Banco
							Mundial.

						A criação da nova instituição faz parte da agenda de implantação de uma união econômica
							completa entre os países do bloco, que deverão adotar uma moeda única em 2020."
BRICS,"05. (PUC-RS) No início da década de 2000, o economista Jim O’Neill apresentava ao mundo o termo BRICS, idealizado a partir de um estudo intitulado: “Construindo uma melhor economia global”. O termo é formado pelas iniciais de Brasil, Rússia, Índia, China e, a partir de 2011, as da África do Sul. A sigla tem a função de delimitar os países emergentes capazes de se aproximar, se igualar ou, até mesmo, ultrapassar tradicionais potências econômicas mundiais.



					Sobre os BRICS, NÃO se pode afirmar que

					
						 a sigla se refere a um grupo de cinco países que apresentam características socioeconômicas similares, tais como significativo índice populacional, aumento da participação no comércio internacional e consideráveis desigualdades sociais.

						a extensa área territorial e os recursos naturais disponíveis são características físicas comuns aos países do BRICS.

						constituem um bloco econômico que, com tratados registrados e pactos reconhecidos, busca uma redução tarifária comercial, bem como a redução de custos alfandegários e aduaneiros.

						trata-se de um agrupamento não formal de países que busca, sem burocracias, estabelecer um canal de trocas mútuas entre os membros que o compõem.

						os acordos firmados entre os cinco países visam arrecadar fundos, através de mecanismos financeiros, para promover obras ligadas à infraestrutura nas nações envolvidas."
BRICS,"06. (UFPR) O termo BRICS tem sido utilizado para designar os países Brasil, Rússia, Índia, China e África do Sul. Sobre esses países, é correto afirmar que:

					
						 formam um bloco econômico que, a exemplo do Mercosul e da União Europeia, estão estabelecendo um conjunto de tratados e acordos visando a integração da economia.

						são considerados países emergentes, embora possuam diferenças expressivas entre si, no que diz respeito a população, território, recursos naturais e industrialização.

						sua importância como bloco econômico e político tem reformulado a geopolítica mundial e rivalizado com outras entidades supranacionais, a exemplo da ONU.

						Uma das suas características é a semelhança no regime político adotado, mostrando que o mundo ainda se divide por questões de natureza ideológica.

						sua emergência como bloco foi consequência da alta capacidade em articular necessidades globais com interesses regionais, acima dos interesses econômicos e políticos."
BRICS,"07. (UEFS) Os membros do grupo BRICS, embora sejam unidos pela importância de suas economias no contexto global, guardam sensíveis diferenças nos papéis que desempenham na política internacional deste século XXI.

					Entre essas diferenças, está

					
						 a extensão territorial do Brasil e da África do Sul, superior à dos outros participantes do grupo.

						a existência de programas sociais de proteção à criança e à mulher, que colocam a Índia à frente dos outros componentes do grupo.

						a característica pacifista da política externa, que identifica a Rússia como árbitro nos conflitos internacionais.

						a concentração dos participantes no hemisfério sul, elevando a importância estratégica dessa região.

						o manejo da tecnologia de armas nucleares, que projeta a Rússia, a China e a Índia a um patamar superior ao dos outros membros."
BRICS,"08. (UECE) A China é reconhecida por ser o maior país do mundo em quantitativos demográficos e por ter a terceira maior extensão territorial do mundo. Além disso, outros aspectos que lhe conferem notoriedade são seu intenso crescimento econômico e sua crescente atuação política, que tornam o país um importante ator no cenário internacional. Considerando algumas características da China, atente para as seguintes afirmações:



					I. Apesar de ser um dos maiores países do mundo em termos de área, a China enfrenta problemas em relação aos seus recursos naturais, pois boa parte de seu território é ocupada por extensos desertos, além de áreas montanhosas muito acidentadas.

					II. Desde o segmento de fontes energéticas renováveis, principalmente solar, no Chile, passando pelo pré-sal e infraestrutura no Brasil e pelo shale gas nos Estados Unidos, a China tem realizado investimentos no continente americano visando ampliar sua zona de influência global e atender seus interesses comerciais e estratégicos por meio de suas empresas estatais.

					III. A China integra o BRICS, grupo dos principais países em desenvolvimento composto também por Brasil, Rússia, Índia e África do Sul, que funciona como um agrupamento geopolítico e geoeconômico de apoio aos Estados Unidos.



					Está correto o que se afirma em

					
						I e III apenas.

						I e II apenas.

						II e III apenas.

						I, II e III."
BRICS,"09. (Unimontes) Os presidentes de Brasil, Rússia, Índia, China e África do Sul deram início, por volta das 12h30 desta quarta-feira (16), ao terceiro dia da VI Cúpula do Brics, em Brasília, no Palácio do Itamaraty, sede do Ministério das Relações Exteriores. Além dos cinco presidentes e primeiros-ministros dos países que compõem o grupo, participam, como convidados, mandatários de 11 nações sul-americanas, entre eles, a presidente da Argentina, Cristina Kirchner, e os presidentes do Uruguai, José Mujica, e da Bolívia, Evo Morales.

					Fonte: www.g1.globo.com- 16/7/2014.

					Em relação ao assunto abordado, é CORRETO afirmar:

					
						 Os países-membros dos Brics apresentam indicadores sociais, como taxa de desemprego e índice de escolaridade, maiores que países tradicionalmente ricos.

						Esse grupo denominado de Brics pode ser considerado um bloco econômico com alta integração, pois está na etapa de mercado comum.

						O Brasil destaca-se, nesse grupo, pelo elevado crescimento econômico, uma vez que o PIB brasileiro é maior entre os países do Brics.

						Os Brics são países emergentes que, nas últimas décadas, apresentaram um crescimento industrial alto."
